epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2713,1.20473,1.5428,1.05007,0.72048,0.75566,0.79349,0.53547,1.1291,1.08433,1.01875,0.000413165,0.000413165,0.000413165
2,127.822,1.17935,0.96882,1.05006,0.80106,0.69624,0.79338,0.53256,1.14211,1.28308,1.04527,0.000788755,0.000788755,0.000788755
3,177.986,1.18486,0.93511,1.06252,0.68591,0.74577,0.71296,0.47962,1.13705,1.33285,1.04407,0.0011231,0.0011231,0.0011231
4,227.404,1.18095,0.88071,1.05024,0.8443,0.79187,0.87117,0.59263,1.11697,0.84701,1.04132,0.00106437,0.00106437,0.00106437
5,276.132,1.16424,0.84541,1.04749,0.8255,0.80546,0.88683,0.60235,1.14237,0.80028,1.03324,0.0010025,0.0010025,0.0010025
6,325.98,1.12955,0.80419,1.03071,0.84552,0.8022,0.88911,0.62087,1.1142,0.75593,1.02764,0.000940625,0.000940625,0.000940625
7,374.229,1.1061,0.76005,1.02087,0.88939,0.82161,0.91779,0.64597,1.07991,0.67325,0.99916,0.00087875,0.00087875,0.00087875
8,425.354,1.09346,0.73678,1.01702,0.8717,0.85903,0.92107,0.65789,1.08249,0.65127,1.00777,0.000816875,0.000816875,0.000816875
9,474.215,1.06826,0.70679,1.00198,0.89771,0.86457,0.94359,0.67956,1.06145,0.62643,0.99287,0.000755,0.000755,0.000755
10,524.061,1.05708,0.67076,0.99694,0.86303,0.8804,0.93594,0.67585,1.04998,0.62773,0.9848,0.000693125,0.000693125,0.000693125
11,573.301,1.03236,0.63181,0.98951,0.89946,0.88,0.94193,0.67642,1.07022,0.61656,0.99179,0.00063125,0.00063125,0.00063125
12,620.269,1.02204,0.59889,0.98309,0.90681,0.90497,0.95511,0.69864,1.03902,0.58211,0.97876,0.000569375,0.000569375,0.000569375
13,668.482,1.00947,0.58099,0.97781,0.90551,0.911,0.95923,0.70875,1.01926,0.56974,0.97319,0.0005075,0.0005075,0.0005075
14,716.719,0.99014,0.55998,0.9638,0.90289,0.90655,0.95115,0.70059,1.01849,0.55919,0.97179,0.000445625,0.000445625,0.000445625
15,763.74,0.98293,0.5485,0.97012,0.92444,0.90833,0.96613,0.71663,1.00083,0.53358,0.96614,0.00038375,0.00038375,0.00038375
16,811.3,0.96932,0.52708,0.95885,0.91147,0.92138,0.96608,0.73109,0.99234,0.52288,0.95986,0.000321875,0.000321875,0.000321875
17,858.821,0.9507,0.50344,0.9514,0.92997,0.91536,0.96823,0.72825,0.98852,0.51925,0.96012,0.00026,0.00026,0.00026
18,907.975,0.94009,0.49567,0.9512,0.93888,0.91609,0.96966,0.73265,0.98345,0.4989,0.95994,0.000198125,0.000198125,0.000198125
19,955.545,0.92412,0.48083,0.94475,0.92366,0.92349,0.97093,0.73553,0.97229,0.49701,0.95524,0.00013625,0.00013625,0.00013625
20,1005.93,0.91292,0.46406,0.93815,0.93316,0.92873,0.97337,0.74145,0.96554,0.47919,0.95014,7.4375e-05,7.4375e-05,7.4375e-05
